Date,Clicks,Impressions,CTR,Position
2025-10-16,1,140,0.71%,6.2
2025-10-17,1,178,0.56%,8.8
2025-10-18,1,140,0.71%,9.5
2025-10-19,3,155,1.94%,7.4
2025-10-20,0,148,0%,6.1
2025-10-21,2,145,1.38%,7.1
2025-10-22,0,118,0%,6.4
2025-10-23,2,192,1.04%,8.4
2025-10-24,0,162,0%,7.4
2025-10-25,2,550,0.36%,8.2
2025-10-26,1,158,0.63%,8.7
2025-10-27,0,158,0%,7.4
2025-10-28,0,152,0%,8
2025-10-29,1,150,0.67%,8.1
2025-10-30,0,119,0%,6.5
2025-10-31,2,124,1.61%,9.3
2025-11-01,3,126,2.38%,8.9
2025-11-02,0,1181,0%,5.4
2025-11-03,1,167,0.6%,8.4
2025-11-04,0,205,0%,7.2
2025-11-05,0,160,0%,7.3
2025-11-06,0,164,0%,6.8
2025-11-07,0,130,0%,8.6
2025-11-08,1,149,0.67%,11.8
2025-11-09,0,111,0%,7.7
2025-11-10,0,1069,0%,5.9
2025-11-11,0,120,0%,10.3
2025-11-12,1,464,0.22%,6.3
2025-11-13,1,137,0.73%,7.8
2025-11-14,0,145,0%,8.4
2025-11-15,1,138,0.72%,10
2025-11-16,0,117,0%,8.8
2025-11-17,0,128,0%,7.7
2025-11-18,1,137,0.73%,8.5
2025-11-19,0,165,0%,7.5
2025-11-20,1,131,0.76%,8.6
2025-11-21,0,101,0%,9.8
2025-11-22,2,154,1.3%,7.8
2025-11-23,0,141,0%,7.2
2025-11-24,0,136,0%,8.5
2025-11-25,1,130,0.77%,8.9
2025-11-26,1,124,0.81%,7.3
2025-11-27,0,120,0%,10.8
2025-11-28,1,159,0.63%,10.9
2025-11-29,0,114,0%,9.4
2025-11-30,1,143,0.7%,8.8
2025-12-01,0,169,0%,8.2
2025-12-02,0,141,0%,9.1
2025-12-03,1,166,0.6%,7.7
2025-12-04,1,164,0.61%,10.8
2025-12-05,1,142,0.7%,10.1
2025-12-06,2,112,1.79%,9.8
2025-12-07,0,127,0%,10.9
2025-12-08,1,137,0.73%,13.6
2025-12-09,2,138,1.45%,9.8
2025-12-10,0,108,0%,8.3
2025-12-11,0,141,0%,11.3
2025-12-12,0,146,0%,11.7
2025-12-13,0,113,0%,10.6
2025-12-14,1,112,0.89%,7.9
2025-12-15,0,117,0%,9
2025-12-16,0,148,0%,11.7
2025-12-17,1,129,0.78%,10.1
2025-12-18,1,119,0.84%,9.9
2025-12-19,0,114,0%,11.2
2025-12-20,1,128,0.78%,9.2
2025-12-21,0,120,0%,10.4
2025-12-22,0,100,0%,11.1
2025-12-23,0,130,0%,8.8
2025-12-24,0,115,0%,14.7
2025-12-25,0,88,0%,16.9
2025-12-26,1,110,0.91%,12.7
2025-12-27,0,110,0%,10.5
2025-12-28,0,81,0%,8.9
2025-12-29,1,128,0.78%,8.6
2025-12-30,0,100,0%,7.7
2025-12-31,1,98,1.02%,7.3
2026-01-01,0,115,0%,9.4
2026-01-02,0,130,0%,12.1
2026-01-03,0,106,0%,10.2
2026-01-04,1,145,0.69%,8
2026-01-05,0,103,0%,8.7
2026-01-06,1,126,0.79%,7.9
2026-01-07,0,134,0%,11.4
2026-01-08,2,163,1.23%,12.5
2026-01-09,0,128,0%,8.5
2026-01-10,2,146,1.37%,11.2
2026-01-11,0,103,0%,7.7
2026-01-12,1,142,0.7%,9
2026-01-13,1,153,0.65%,9.2
2026-01-14,1,134,0.75%,7.7
2026-01-15,1,132,0.76%,7.9
2026-01-16,1,138,0.72%,10.6
2026-01-17,1,119,0.84%,8.9
2026-01-18,1,91,1.1%,8.5
2026-01-19,0,80,0%,9.6
